5000 10000
97 126 9
97 402 1
97 665 1
97 1270 4
97 2498 7
97 4615 295
98 102 10
98 108 5
98 302 9
98 386 3
98 404 5
98 1538 1
98 2414 654
98 3893 958
99 458 5
99 615 10
99 1220 2
99 1451 587
99 1988 615
99 3133 731
100 367 2
100 394 1
100 457 7
100 2336 6
100 4324 4
101 103 10
101 334 1
101 524 866
101 2766 7
102 152 5
102 310 6
102 391 7
102 4528 871
103 344 9
103 509 9
103 569 6
103 2874 958
103 3070 7
103 4606 335
104 144 3
104 230 1
104 364 7
104 450 2
104 1106 10
104 1150 9
104 2135 10
104 3416 251
104 3914 7
104 4927 3
105 213 2
105 487 2
105 831 6
105 1620 626
105 1817 9
106 117 5
106 139 7
106 147 5
106 319 8
106 645 4
106 878 930
106 1119 3
106 1185 955
106 4848 667
107 197 3
107 202 7
107 646 900
107 1828 8
107 3015 433
107 3493 5
107 4376 23
107 4542 496
108 280 10
108 375 1
108 506 6
108 541 8
108 614 10
108 666 7
108 773 10
108 1171 789
108 1245 2
108 1277 233
108 1340 5
108 1477 898
108 3619 4
108 4131 172
108 4175 10
108 4277 794
108 4970 60
109 142 4
109 146 3
109 180 2
109 357 1
109 961 9
109 1296 10
109 1954 993
109 3143 4
109 3767 358
109 4386 2
109 4989 1
110 161 6
110 174 3
110 832 9
110 1076 72
110 2735 25
110 3838 448
111 399 1
111 507 10
111 513 6
111 807 2
111 4600 9
112 288 48
112 328 6
112 373 6
112 990 8
112 1568 10
112 2571 300
113 114 2
113 191 7
113 266 10
113 372 3
113 1358 1
113 1419 665
113 3549 674
113 4021 997
113 4730 5
114 1604 10
114 2188 2
114 3111 219
114 4763 8
115 292 9
115 351 1
115 829 7
115 876 10
115 1552 10
115 2217 682
115 2969 581
116 706 647
116 894 10
116 1154 6
116 2086 10
116 2362 464
116 3035 10
116 3120 1
116 3411 4
116 3601 10
117 121 9
117 535 4
117 625 6
117 1315 6
117 1612 705
117 2420 9
117 3055 5
117 3087 1
117 4036 650
118 143 5
118 155 6
118 203 8
118 1864 2
118 2878 1
119 127 4
119 256 10
119 425 3
119 1682 7
119 2324 9
119 2801 9
119 3238 9
120 325 8
120 1086 7
120 1143 708
120 1670 9
120 2162 3
120 2814 824
120 3082 7
120 3710 8
120 4371 436
120 4434 5
121 224 1
121 543 2
121 701 7
121 978 334
121 2746 9
122 565 325
122 1657 7
122 2375 187
123 294 7
123 332 378
123 1141 5
123 2156 929
123 2984 420
124 165 1
124 241 6
124 312 822
124 681 5
124 713 4
124 1610 47
124 2080 10
124 4155 242
125 145 1
125 236 7
125 557 5
125 893 479
125 925 5
125 2360 6
125 3329 434
126 208 5
126 640 50
126 880 5
126 902 3
127 689 8
127 1198 2
127 3812 550
128 138 2
128 171 8
128 574 4
128 1980 9
129 856 759
129 1060 10
129 1421 731
129 1795 5
129 3305 869
129 3424 715
130 1662 1
130 1675 2
130 3430 758
130 4154 3
130 4162 26
131 430 606
131 1641 693
131 3434 206
132 147 526
132 360 5
132 585 1
132 2461 5
133 158 6
133 2221 5
133 2928 2
133 3659 498
133 4361 693
134 237 8
134 534 8
134 1276 5
134 2569 10
134 3848 10
135 198 4
135 647 4
135 1563 165
135 2841 72
135 3331 662
136 1406 674
136 2052 342
136 3639 496
136 4332 8
137 821 6
137 1447 2
137 1692 10
138 151 1
138 186 8
138 546 7
138 558 6
138 655 2
138 723 420
138 1827 823
138 2795 6
139 2502 841
139 4073 10
140 2879 728
140 4500 9
140 4887 987
141 300 5
141 2724 510
141 3924 10
142 648 5
142 654 861
142 844 2
142 918 10
142 3723 4
143 237 144
143 499 4
143 503 4
143 660 1
143 4510 415
144 900 2
144 1871 481
144 3892 914
145 3975 364
146 173 8
146 176 8
146 841 9
146 1297 849
146 2697 1
146 4949 3
147 4875 539
148 217 725
148 303 7
148 1751 918
148 2926 7
148 3733 411
149 179 3
149 199 8
149 207 1
149 861 989
149 2837 428
149 3362 182
150 170 2
150 182 735
150 281 1
150 298 4
150 515 3
150 3765 2
150 4754 348
151 1991 1
151 2261 814
151 2419 373
151 2759 2
151 3030 432
152 175 3
152 267 4
152 696 4
152 950 532
152 4797 9
153 725 5
153 784 5
153 2155 7
153 2438 55
153 2678 2
154 183 2
154 441 4
154 1057 3
154 2488 536
154 3629 7
154 3800 7
155 1637 10
155 1696 633
155 2125 88
155 2966 642
155 3789 553
155 4375 3
156 261 5
156 407 10
156 758 9
156 2026 827
156 3499 478
157 311 1
157 355 5
157 519 3
157 788 6
157 2083 10
157 3106 734
157 4885 7
158 1194 8
158 1913 632
158 2890 892
158 4006 1
158 4546 2
158 4977 950
159 1368 8
159 2732 214
159 4397 884
159 4415 803
159 4650 515
160 238 4
160 3388 8
160 4280 6
161 566 8
161 622 8
161 2400 9
161 3668 232
162 363 4
162 736 6
162 1938 407
162 2026 600
162 2785 167
162 4830 53
163 214 9
163 243 4
163 277 7
163 797 478
163 1694 897
163 2572 510
163 2922 10
163 4380 105
163 4654 4
164 1901 8
165 578 9
165 702 3
165 1279 4
165 4689 670
166 184 8
166 480 6
166 4810 8
167 326 3
167 605 6
168 336 2
168 889 6
168 1837 6
169 193 3
169 362 10
169 797 558
169 879 636
169 1905 877
170 200 5
170 234 5
170 460 7
170 495 7
170 3236 64
170 3428 7
170 3987 149
171 349 576
171 423 3
171 2428 4
171 2550 5
171 3241 10
172 354 6
172 3521 9
173 392 4
173 733 7
173 1191 5
173 4126 6
173 4886 5
174 330 4
174 369 2
174 456 2
174 560 9
174 1261 4
174 4762 72
175 181 8
175 594 9
175 1136 754
175 1548 8
175 3870 320
175 4033 197
175 4479 516
176 626 9
176 731 3
176 746 6
176 1021 10
176 1037 2
176 1228 984
176 2247 3
176 3632 981
177 483 7
177 1056 275
177 2009 421
177 2310 8
177 2435 681
177 3262 5
178 188 1
178 251 4
178 383 4
178 446 7
178 3413 958
178 3870 808
179 430 9
179 697 7
179 851 4
179 932 5
179 2933 2
179 4623 972
180 482 9
180 529 1
180 1365 7
181 2120 9
181 2632 7
181 3483 1
182 258 4
182 312 9
182 374 277
182 401 8
182 1482 6
182 2492 877
183 187 8
183 779 5
183 892 4
183 1047 723
183 1957 6
183 2140 26
183 2246 604
183 3566 4
184 624 177
184 1360 10
184 2674 980
184 3436 138
184 3525 69
184 3804 871
185 220 2
185 1509 3
185 1649 4
185 2094 10
185 3304 6
185 3581 8
185 4465 725
186 784 886
186 3284 528
187 785 3
187 821 55
187 1307 3
187 2027 832
187 2129 496
187 3205 419
187 4644 5
188 263 8
188 508 1
188 1267 466
188 3150 373
188 3183 9
188 3367 611
188 3813 6
188 4429 1
189 293 3
189 417 5
189 968 1
189 2254 872
189 2263 439
189 2606 860
190 284 8
190 2961 466
191 385 4
191 1986 2
191 2783 9
191 4280 474
192 1297 4
192 1621 4
192 2533 7
192 2731 134
192 4781 10
193 461 5
193 565 3
193 596 4
193 757 25
193 1996 10
193 3398 178
193 3861 719
194 290 9
194 2061 4
194 3821 452
195 1149 6
195 4330 95
196 1328 5
196 1336 5
196 2503 410
196 3098 584
197 255 532
197 672 804
197 3132 412
197 4729 237
198 249 5
198 1193 1
198 1200 4
198 1746 9
198 3098 175
198 3651 278
199 790 9
199 930 272
199 2753 582
199 3302 459
199 4344 4
200 2767 816
201 209 6
201 692 3
201 1578 659
201 1933 561
201 1936 367
201 4482 640
202 890 71
202 1287 8
202 3539 107
203 1986 657
203 2229 10
203 3022 849
203 3775 3
204 246 6
204 535 496
204 2281 5
204 3799 36
205 211 2
205 3270 76
205 3732 10
205 4799 6
206 268 5
206 671 4
206 693 8
207 1312 10
207 3488 671
208 260 10
208 445 9
208 2417 187
208 3582 2
208 4053 458
209 520 4
209 1234 3
209 1955 7
209 2682 4
210 215 7
210 380 2
210 635 6
210 816 1
210 896 242
210 1395 1
210 2301 326
210 2306 471
210 2326 282
210 3753 86
211 245 3
211 1958 5
211 4162 4
212 527 1
212 2092 8
212 3279 9
212 3745 945
212 3751 208
212 3976 409
213 229 7
213 338 1
213 468 4
213 686 6
213 3190 4
213 3666 3
213 4319 561
213 4507 2
214 1496 1
214 1776 204
214 3014 10
214 3484 5
214 4624 816
215 257 3
216 343 4
216 717 3
216 1139 1
216 1434 10
216 1809 205
216 2404 199
216 4893 5
217 633 9
217 2415 877
217 2564 8
217 2895 788
218 271 6
218 352 9
218 381 6
218 388 7
218 763 3
218 926 4
218 1056 7
218 1124 5
218 2485 70
219 798 2
219 1050 4
219 1246 4
219 4673 882
220 4269 789
221 463 1
221 940 3
221 2297 724
221 2392 524
222 604 784
222 683 4
222 1071 4
222 1350 25
222 1377 351
222 2319 5
223 2451 383
223 4153 911
224 1103 631
224 1732 4
224 2547 74
224 3434 3
224 3614 451
225 1286 8
225 2531 3
225 3207 6
225 3565 6
226 3501 6
226 4726 193
227 361 9
227 589 4
227 2567 895
227 4192 725
227 4631 147
228 233 10
228 1082 1
228 1651 4
228 2386 8
228 3035 885
228 3299 8
228 3416 8
228 3540 4
229 424 4
229 1588 1
229 2579 3
229 3743 770
230 449 202
230 462 2
230 1402 6
230 1487 10
230 1641 8
230 4145 1
231 448 2
231 491 2
231 547 8
231 777 352
231 1339 8
231 1398 313
231 4753 5
231 4920 251
232 920 446
232 4914 304
233 242 1
233 479 309
233 602 1
233 3410 714
233 4707 859
234 440 4
234 526 2
234 1190 3
234 2666 250
234 3049 3
234 4961 8
235 268 479
235 391 980
235 470 778
235 576 6
235 1463 8
235 2657 876
235 3981 5
236 665 988
236 929 10
236 2039 10
236 3797 431
237 2066 316
237 2743 4
237 3020 272
238 1018 3
238 2185 259
238 3494 5
238 3762 937
238 4221 137
238 4956 924
239 403 8
239 907 5
239 1681 7
239 3053 499
239 3117 556
239 3303 144
239 4201 9
239 4921 6
240 297 7
240 472 1
240 493 8
240 604 9
240 1010 755
240 2446 649
240 2692 973
240 3259 702
240 3950 946
240 4201 259
241 426 6
241 2114 1
241 3563 61
242 321 8
242 409 8
242 512 2
242 631 9
242 799 5
242 846 99
242 1222 4
242 1376 2
242 2300 2
242 2925 9
242 3196 7
242 3855 566
243 397 6
243 427 5
243 2169 1
243 2385 6
243 2861 756
244 620 3
244 837 6
244 2518 2
244 2554 925
245 920 3
245 1556 5
246 707 465
246 1044 5
246 2341 575
246 2395 1
246 3712 316
246 4128 7
246 4612 183
246 4947 10
247 1185 5
247 1521 5
247 2401 732
247 3464 736
248 262 5
248 417 792
248 685 9
248 2180 489
248 3069 1
248 4901 1
249 1811 236
249 2094 192
249 3600 204
249 3648 5
249 4023 903
249 4746 2
250 521 785
250 782 728
250 805 1
250 838 3
250 1814 129
250 1885 33
250 3758 3
251 1768 8
251 2313 60
251 2416 194
251 4609 3
251 4923 335
252 1041 580
252 2297 4
253 265 10
253 1759 2
253 3165 960
253 4055 3
254 270 1
254 708 7
254 1095 979
254 1244 9
254 3293 2
254 3546 344
255 3989 1
256 276 4
256 455 10
256 1045 4
257 3867 6
258 2073 5
259 531 10
259 969 6
259 1810 395
259 3157 52
260 542 615
260 1019 2
260 1175 7
260 1672 644
260 3688 904
260 3761 547
260 4755 204
261 305 1
261 331 8
261 618 4
261 1289 3
261 1769 922
261 3027 857
261 3962 6
262 473 7
262 744 5
262 1390 438
262 2208 644
262 2452 3
262 3103 14
262 3429 10
262 3589 817
263 366 9
263 730 9
263 1008 8
263 1250 9
263 2748 9
263 3782 676
264 282 10
264 452 5
264 467 4
264 766 10
264 1797 2
264 1863 878
265 272 7
265 348 75
265 846 5
265 1248 10
265 1871 46
265 2127 4
266 283 4
266 384 9
266 405 2
266 414 5
266 3248 962
267 813 5
267 1646 404
268 327 8
268 371 10
268 374 8
268 1499 3
268 3532 880
269 396 1
269 412 8
269 627 6
269 1478 10
269 4142 6
269 4644 313
270 308 7
270 2466 2
271 504 5
271 1663 688
271 1818 7
271 2482 8
271 4176 3
272 1062 2
272 2621 117
272 2918 5
273 526 681
273 1113 3
273 3490 8
274 500 8
274 530 9
274 4134 2
275 421 3
275 869 2
275 1758 3
276 288 6
276 762 933
276 1039 513
276 1258 983
276 1318 8
276 2568 69
276 2647 18
276 3653 808
277 337 4
277 469 3
277 935 1
277 2446 791
277 2947 521
277 4420 151
277 4770 2
278 329 540
278 511 709
278 539 6
278 1850 2
279 981 8
279 1629 9
279 2270 10
279 2699 758
279 3831 9
280 287 2
280 646 3
280 4289 5
281 329 4
281 353 6
281 447 2
281 772 7
281 1520 7
281 4605 4
281 4882 258
282 966 9
282 3992 987
283 764 3
283 1133 10
283 2002 9
283 2151 10
283 2282 932
283 3119 901
283 4347 274
284 339 542
284 522 9
284 1242 3
284 1860 8
284 2391 817
285 1363 8
285 1859 398
285 2228 95
285 2268 340
285 2823 605
286 682 6
286 1300 6
286 1557 492
286 3737 805
287 315 5
287 342 1
287 653 10
288 1404 10
288 1608 7
288 1748 2
288 2659 5
288 4467 79
289 852 2
289 945 6
289 1019 139
289 2354 853
290 347 4
290 1709 770
290 3374 624
291 429 8
291 609 9
291 643 10
291 710 1
291 1156 4
291 1424 5
291 2470 8
291 2729 1
291 4664 4
292 306 9
292 759 1
292 2911 173
292 2934 726
292 4665 769
293 439 7
293 1225 3
293 1259 3
293 1285 7
293 1631 608
293 3546 510
293 3746 418
293 4889 312
294 356 9
294 864 8
294 971 77
294 3097 732
294 4910 7
295 296 3
295 322 7
295 585 859
295 1038 9
295 1799 692
296 320 6
296 422 5
296 672 5
296 979 6
296 1542 168
296 1803 6
297 1593 8
297 1783 2
297 2580 464
298 629 8
298 3065 552
298 3298 4
298 3544 8
298 4336 724
299 1178 8
299 3674 8
300 642 10
300 1619 9
300 2626 91
300 3431 6
301 318 3
301 340 10
301 953 4
301 3655 402
302 997 1
302 1451 339
302 1862 66
302 2238 4
302 4679 930
303 323 5
303 985 6
303 2732 925
303 4776 3
304 3301 527
304 4649 2
305 1645 211
305 1827 214
305 2997 413
306 4086 711
306 4775 462
307 1330 3
307 1444 10
307 1471 255
307 1603 2
307 2589 994
307 3021 761
307 3556 6
308 2464 1
308 2539 7
308 3119 460
309 904 5
309 1064 9
309 1654 3
309 4945 425
310 1587 942
310 2351 9
310 3751 1
311 454 4
311 583 6
311 882 10
311 909 8
311 2707 4
311 3562 16
311 3763 9
311 4533 176
311 4754 1
312 350 6
312 358 5
312 679 7
312 806 7
312 952 5
312 1195 5
312 3413 343
312 4713 2
313 1415 4
313 4615 5
314 2667 5
314 3833 5
314 4273 822
315 376 2
315 466 4
315 966 851
315 2438 241
316 776 601
316 3277 598
316 4338 472
316 4745 807
317 601 2
317 618 623
317 1165 5
317 1494 9
317 1769 4
317 1786 10
317 3711 7
317 3750 826
318 382 1
318 3034 987
319 470 10
319 910 2
319 958 3
319 1490 766
319 3186 239
319 4615 159
320 339 932
320 521 3
320 848 5
320 1322 2
320 1417 10
320 1777 9
320 3427 856
321 540 6
322 333 1
322 413 10
322 2179 2
322 2756 8
322 2775 705
322 3166 672
322 4574 729
323 459 1
323 517 1
323 654 1
323 757 3
323 921 5
323 3840 5
324 687 735
324 1161 743
324 1407 9
324 1651 416
324 2263 950
324 4226 2
325 1116 8
325 1386 2
325 1939 153
325 2859 2
325 4065 588
326 379 4
326 1956 8
326 2971 7
326 3945 9
327 1916 367
327 3075 983
328 997 207
328 2035 3
328 2244 518
328 2746 40
328 3301 419
330 706 4
330 1274 1
330 3564 50
330 4417 2
331 853 8
331 3379 6
331 3524 4
331 3535 274
332 3812 428
333 370 7
333 475 6
333 486 7
333 1370 2
333 2388 115
333 4639 772
333 4836 4
334 525 3
334 619 8
334 3966 5
334 4314 816
334 4738 4
336 803 2
336 1543 9
336 2017 90
336 4704 901
337 842 10
337 2390 869
337 3786 203
338 523 7
338 591 7
338 847 10
338 1611 4
338 1689 8
338 2305 6
338 2575 429
338 4044 897
338 4141 1
339 465 9
339 2310 752
339 2790 509
339 2828 818
340 4147 3
340 4267 852
341 518 4
341 980 5
341 1264 4
341 2192 10
341 2202 203
341 3874 171
341 4633 8
342 536 7
342 624 2
342 698 4
342 1052 1
342 1859 962
342 2111 2
343 650 10
343 704 9
343 1863 1
343 4286 702
343 4573 9
344 359 6
344 489 3
344 577 9
344 1084 508
344 1176 1
345 916 475
345 1400 4
345 1798 811
345 3570 480
345 3642 7
345 4234 8
346 378 2
346 2467 128
346 2485 787
346 2497 999
346 3231 6
346 3927 2
347 941 277
347 1560 10
347 2969 822
348 1288 7
348 1720 7
348 4269 976
349 377 10
349 490 7
349 2208 524
349 2307 2
349 2463 3
349 2483 632
349 3644 609
349 4354 10
349 4619 4
350 449 8
350 2828 541
350 3223 3
351 1136 8
351 1203 8
351 1765 3
351 1924 4
351 2755 367
351 3894 2
352 398 4
352 640 5
352 1446 8
352 1643 731
352 2107 641
352 2753 3
353 592 432
353 3443 51
354 428 5
354 1709 5
354 2637 219
354 3573 3
355 818 5
355 1353 4
355 3913 392
356 448 631
356 1243 821
356 1856 3
356 2085 6
357 1026 635
357 2711 997
357 2731 8
357 3207 572
357 4514 532
358 814 10
358 937 7
358 2952 1
358 3481 10
358 3536 318
358 4545 5
359 598 1
359 1683 10
360 728 5
360 908 290
360 1170 2
360 1189 185
360 1770 5
360 3066 278
360 3353 5
361 368 9
361 1559 788
361 4129 526
362 1746 260
362 2969 2
362 4284 481
363 434 3
363 634 8
363 850 2
363 1284 5
363 3727 673
363 4629 916
364 488 9
364 611 9
364 1820 271
364 4416 630
365 419 6
365 2281 353
366 658 10
366 711 1
366 1134 1
366 2093 8
367 393 1
367 917 889
367 1159 10
367 2071 9
367 2183 891
367 3773 488
368 542 3
368 729 1
368 1388 6
368 2084 1
368 3243 3
369 834 10
369 1822 320
369 2839 8
369 2887 383
370 1393 1
370 1526 2
370 1967 1
370 2143 2
370 2494 3
370 2856 2
370 3631 181
370 4575 682
371 511 906
371 545 5
371 948 632
371 2877 208
372 442 1
372 1934 5
372 2362 8
373 418 7
373 924 6
373 3091 782
374 453 4
374 1215 7
374 1969 7
374 3185 750
374 3345 921
374 3846 810
374 4197 615
375 919 5
375 1266 7
375 4463 343
376 871 5
376 1398 6
376 2983 2
377 1780 10
377 1851 617
377 2202 4
377 2938 569
378 573 3
378 2793 322
378 2935 225
378 3543 353
379 830 7
379 1088 9
379 1664 9
379 2440 886
379 2973 8
379 4409 702
380 883 6
380 1046 10
380 2196 6
381 668 5
381 770 8
381 905 2
382 857 255
382 1475 6
382 1677 769
382 2253 395
383 410 5
383 1069 6
383 1516 9
383 3406 217
383 3665 580
384 664 4
384 1663 338
385 1379 881
385 2131 278
385 4586 83
386 745 6
386 861 6
386 963 5
386 1344 4
386 1843 2
387 433 6
387 623 3
387 2338 4
387 3316 529
388 915 7
388 2062 8
388 4132 203
389 498 6
389 1105 9
389 1181 9
390 437 10
390 656 4
390 687 8
390 2134 7
390 2692 919
